Voltage,Current,Power
1.2489950564993606,0.0,0.0
1.2341042252113252,224.31926024189207,276.83334686079786
1.224820002969592,336.98722681540306,412.74869614875655
1.2180534487430144,404.7976735763505,493.0652023428227
1.2127249947755474,450.1013117030932,545.8491108836007
1.2083287129720435,482.5116201038919,583.0326449141913
1.2045863325459123,506.84881701236156,610.5431576401548
1.201328302183939,525.7972660656419,631.6551369355944
1.1984432627439248,540.9672436085456,648.3185484678129
1.1958545875518916,553.3876933107456,661.7712117404143
1.193506996408448,563.7442598441498,672.8327183090948
1.1913593133844294,572.5114050476728,682.0667944223504
1.1893801730386422,580.029393827802,689.8754607984099
1.187545014285355,586.5473202479699,696.551345802912
1.1858343540350054,592.2530024873316,702.3139566298573
1.1842322929803688,597.2886342150144,707.3284888675594
1.1827258604046913,601.7657025180445,711.7238582726876
1.1813043144711808,605.772687795701,715.6018896818653
1.179958577949006,609.3797582606924,719.0428729881957
1.1786809686601238,612.6439208306164,722.1117300483671
1.1774649172285934,615.6118401851405,724.8613444485385
1.1763047622795137,618.3220913972744,727.3352207332427
1.175195604705902,620.8070155310994,729.5696760227366
1.1741331511172444,623.0936435367397,731.5949031269172
1.1731135994016106,625.2044887268074,733.4358881323487
1.1721336285909003,627.1591859781769,735.1143723647158
1.1711902794612827,628.9744337890208,736.6487428833655
1.1702809113335109,630.6646305100766,738.0547785391443
1.1694031621699914,632.2422763893316,739.346117267238
1.1685549056915143,633.7182412605869,740.5345596512574
1.1677342389959982,635.1022318864069,741.6306214365334
1.1669394128127693,636.4024632193975,742.6431167418438
1.1661688481428658,637.6263005106192,743.5799284120657
1.1654210916180234,638.7800868686082,744.4477861422693
1.1646948573938918,639.8699823871142,745.253277886992
1.163988931051395,640.901031970129,746.0017071126463
1.1633022067227987,641.8778657469877,746.6979376699911
1.1626336670347792,642.8046468527009,747.3463237573519
1.1619823735243646,643.6851243420193,747.9507685852653
1.1613474438507354,644.5224967352173,748.5145540877385
1.1607281018506472,645.3201713890569,749.0412576223544
1.1601235900472666,646.0807795994428,749.5335534894424
1.1595332282500712,646.8070209543176,749.9942330619714
1.1589563432587398,647.5008519363881,750.4252196171151
1.1583923434087509,648.1645147139255,750.82881111386
1.15784066683726,648.7999491637038,751.2069657836832
1.1573008012563748,649.4091039066475,751.5616762943475
1.1567722251252721,649.9932486671279,751.8941365770778
1.1562544860310724,650.554016589973,752.206000087689
1.1557471497209106,651.0927960968019,752.4986432926968
1.1552498208047441,651.6110393081748,752.773536395162
1.1547620865971375,652.1095800886867,753.031419393195
1.1542836084179633,652.5898269860937,753.2737403103627
1.1538140166029671,653.0524585437539,753.5010802448114
1.1533529971331002,653.4985488263641,753.7145099110187
1.1529002580638132,653.9291642343406,753.9151022012251
1.1524554820495398,654.3447823264396,754.1032315426181
1.1520184032424379,654.7462885651894,754.2797738817819
1.1515887758024974,655.1345916858612,754.4456424253899
1.151166324362281,655.510012984075,754.6010522295487
1.1507508227389653,655.873299674331,754.7467392127563
1.150342061676296,656.2252307561041,754.8834848719799
1.149939800260878,656.5660081743843,755.0113842981334
1.1495438599396637,656.8964664364224,755.1312996080508
1.1491540201142318,657.2167521041448,755.2432727668966
1.1487701202007785,657.5276377856192,755.3481034943197
1.1483919721130313,657.8294094409972,755.4460128218975
1.1480193902597082,658.1222613440109,755.5371171844918
1.1476522381629335,658.4068989450444,755.6221511961966
1.1472903359125464,658.6833597167812,755.7010530294705
1.1469335597138002,658.9522979381304,755.7745047557686
1.1465817566469534,659.2138946217359,755.8426253014695
1.1462347744125578,659.468247986047,755.9054384625314
1.1458925075418016,659.715969374334,755.9635864117259
1.1455548056471656,659.9570106124676,756.0169250276497
1.1452215730195803,660.191948553588,756.0660618174019
1.1448926830828705,660.4208890163491,756.1110435899026
1.1445680082536367,660.6438562836746,756.1518227516073
1.1442474672258163,660.8614024656067,756.1889859585713
1.1439309464747238,661.0736028077217,756.2225521492927
1.1436183450913848,661.2806357711936,756.2526663216313
1.143309552687853,661.4825021868137,756.2792636860477
1.1430045025453588,661.6797092896131,756.3028869609319
1.142703095817703,661.8723009375517,756.3235273173266
1.1424052308657668,662.0602378200133,756.3410788338168
1.142110850370449,662.2440021870915,756.3560604906285
1.1418198645185256,662.4236158472951,756.3684433006302
1.1415321800884557,662.5990162899074,756.3780995898841
1.1412477481170775,662.7706672062274,756.3855314671599
1.1409664866595035,662.9385721126645,756.3906934944547
1.1406883244255586,663.1028352071953,756.3936620143329
1.1404131792270997,663.263387264042,756.3943081347212
1.1401410112667758,663.420667304499,756.3931105158308
1.1398717478524754,663.5746623658745,756.3900102216055
1.139605311946734,663.7252748009367,756.3848488364532
1.1393416696233205,663.8729279221789,756.3780901165776
1.1390807538828376,664.0175952592425,756.3696629993668
1.1388224930669304,664.1591649819476,756.3593960579923
1.1385668583929542,664.2980471819088,756.3477406164805
1.1383137880158853,664.4342056657661,756.3346175387239
1.1380632296119575,664.5677026253145,756.3200659455644
1.1207202520649866,671.2335613848769,752.2650461097379
1.110535892485822,673.4879520213931,747.9325438765262
1.103298930002274,674.6214433471456,744.3091166014955
1.0976808532456752,675.3035909024587,741.2678218616793
1.0930881725624186,675.7594684518139,738.6646824617446
1.0892036902394353,676.0851827082571,736.3944759220365
1.0858381126613175,676.3371396850765,734.3926432783974
1.0828687725104282,676.5287109363586,732.591814779717
1.0802121997819842,676.6820538104474,730.9602098995745
1.0046039353578669,677.9850648376357,681.1064642497473
0.9871038384306128,678.0223561182869,669.2784702661289
0.9768666936739303,678.0349802235692,662.3497893262668
