Gamma_load,Voltage_V
0.0,1.2400318348776582
10.158195275251046,1.2218038197207017
20.660353654669223,1.2102780920487275
31.518121952853107,1.2021957874092486
42.74354135312501,1.1958497253785132
54.34906076111213,1.1906728661400463
66.34755061048935,1.1861844469861242
78.7523171361936,1.182357009023393
91.57711713093778,1.178799127157714
104.83617320139086,1.175697870304065
118.54418954094109,1.1727270012195803
132.71636823653625,1.1700928053323805
147.36842612768356,1.1675798142739202
162.516612236306,1.1652307879730106
178.1777257867858,1.1630384440812742
194.36913483617786,1.1608331156607725
211.10879553525393,1.1588599875687176
228.41527204173883,1.1570313156732754
246.30775710782177,1.1551346499222652
264.8060933647739,1.1532717374431989
283.93079532827744,1.1516614735710897
303.7030721488684,1.1499744696934058
324.14485113272553,1.1483004306237103
345.278802058888,1.1468625176268694
367.12836231986887,1.1453363519737996
389.71776291354774,1.1438046015237338
413.0720553151648,1.1422981112841093
437.21713925921824,1.1408262334859758
462.1797914620752,1.1396770206756042
487.9876953171481,1.1380648567886587
514.66947159557,1.1369073479251675
542.2547101864145,1.1356340643889071
570.77400291166,1.1343286882992611
600.258977452289,1.1330263260360636
630.7423324231494,1.1317402787351447
662.2578736354727,1.1307133627912114
694.8405515872624,1.1295658880675534
728.5265002231354,1.1283714156641105
763.3530770065925,1.1271657080350554
799.3589043491659,1.125965227384282
836.5839124423819,1.1247769326435022
875.0693835400439,1.1236732723648706
914.857997739939,1.1224654412882176
955.9938803157486,1.1213704282555041
998.5226506516406,1.1202524887699103
1042.4914728338272,1.119134391124282
1087.9491079551785,1.1180249094014347
1134.945968190909,1.116926940817311
1183.5341727053008,1.1158410738543907
1233.767605451462,1.114767067199408
1285.7019749282292,1.1137044217185232
1339.3948759604698,1.1126525834538923
1394.9058535713111,1.111611005392234
1452.2964690171225,1.1105791587403875
1511.6303680584854,1.1095565286716755
1572.9733515428616,1.1085426072507476
1636.3934483772412,1.1075368897652456
1701.9609909716835,1.1065388750393712
1769.7486932374354,1.1055480685213448
1839.831731226107,1.1045640004107946
1912.2878264993515,1.1035862261108282
1987.1973323214884,1.1026143371358594
2064.6433227706707,1.101647965405948
2144.711684867414,1.100686780581567
2227.491213822652,1.0997304883429848
2313.0737115109578,1.098778826730141
2401.554088278136,1.0978315601545408
2493.030468196075,1.0968884769353011
2587.604297881614,1.0959493834579295
2685.3804590000664,1.0950141020631297
2786.4673845782045,1.0940824685902433
2890.9771792556658,1.093154330095556
2999.025743608162,1.0922295440902725
3110.7329026803354,1.0913079762483697
3226.222538870838,1.0903895004134925
3345.622729316975,1.0894739973990786
3469.0658879312937,1.0885613545992068
3596.6889122476055,1.0876514650784679
3728.6333352393285,1.0867442279502992
3865.045482278483,1.085839546837625
4006.0766334094405,1.0849373306697778
4151.883191117337,1.08403749291037
4302.626853777263,1.0831399514844837
4458.474794976542,1.082244628816878
4619.59984890898,1.081351448542075
4786.18070204669,1.0804603403586401
4958.402091302037,1.0795712366472934
5136.455008899486,1.0786840711870718
5320.536914184542,1.0777987857567688
5510.8519526046875,1.076915319290538
5707.61118210513,1.0760336176413405
5911.032807190482,1.0751536275818212
6121.342420911918,1.0742752969912273
6338.773255048174,1.0733985810776683
6563.566438757819,1.0725234318592276
6795.97126598969,1.071649808044049
7036.245471948004,1.0707776673985705
7284.6555189187475,1.069906969953789
7541.476891774372,1.0690376811812672
7806.994403484415,1.0681697645359007
8081.502510970957,1.067303189242248
8365.305641659119,1.0664379218144089
8658.718531084813,1.0655739336536043
8962.066571934045,1.0647111980621426
9275.686174900984,1.0638496890034648
9599.925141764867,1.0629893846734635
